course_id,published_timestamp
614510,2015-09-20T20:25:11Z
519776,2015-07-20T23:07:38Z
805336,2016-05-04T22:34:45Z
828254,2016-05-31T15:10:45Z
471440,2015-04-10T19:24:28Z
478598,2015-06-19T15:22:42Z
394636,2015-01-15T13:19:33Z
512004,2015-06-12T17:34:50Z
1194426,2017-04-27T23:49:48Z
538540,2015-07-08T21:09:43Z
406922,2015-07-01T20:43:10Z
743914,2016-05-11T17:20:38Z
419308,2015-02-13T20:19:58Z
542028,2015-07-02T21:57:04Z
482534,2015-07-28T00:45:02Z
716136,2016-05-26T21:17:14Z
737514,2016-02-05T00:04:50Z
471446,2015-04-10T21:01:47Z
920424,2016-08-25T18:10:44Z
49886,2013-04-17T19:33:22Z
292462,2014-09-19T20:38:16Z
211874,2014-05-07T01:51:09Z
754028,2016-02-24T14:53:28Z
546924,2015-09-17T18:47:54Z
105972,2013-10-16T04:41:28Z
556068,2015-07-22T19:02:23Z
1053272,2017-01-02T17:44:17Z
1273896,2017-07-03T15:13:33Z
317572,2014-11-10T03:28:26Z
738910,2016-05-25T21:04:41Z
1015274,2016-11-25T04:52:51Z
934574,2016-12-21T16:30:33Z
1110470,2017-03-08T22:37:44Z
988804,2016-11-04T22:07:32Z
529718,2015-06-19T22:06:07Z
998872,2016-11-20T20:47:37Z
1023670,2016-11-29T19:05:57Z
571394,2015-08-03T17:46:24Z
637176,2015-10-13T00:45:13Z
677802,2015-11-23T21:19:00Z
1084642,2017-02-08T03:49:44Z
739390,2016-06-15T23:45:51Z
1134864,2017-03-10T22:11:34Z
489146,2015-07-14T18:14:16Z
910650,2016-08-06T00:52:21Z
1079040,2017-01-19T19:09:29Z
109622,2013-10-23T18:34:25Z
881378,2016-06-19T14:56:45Z
474150,2015-04-12T18:31:07Z
1046724,2016-12-22T18:24:55Z
1095116,2017-02-03T16:44:02Z
233900,2014-06-02T03:34:56Z
116128,2013-11-09T21:46:52Z
1249164,2017-06-29T17:27:52Z
877106,2016-06-16T20:23:51Z
65105,2013-07-23T20:24:14Z
889066,2016-07-01T03:13:22Z
28172,2012-11-12T15:01:43Z
257996,2015-02-13T12:50:30Z
